Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
002045	国光电器	28.75			
002046	轴研科技	25.79			
002047	宝鹰股份	5.29			
002048	宁波华翔	11.18			
002049	紫光国芯	109.50			
002050	三花智控	64.48			
002051	中工国际	14.39			
002052	同洲电子	33.34			
002053	云南能投	52.08			
002054	德美化工	53.10			
002055	得润电子	12.69			
002056	横店东磁	23.39			
002057	中钢天源	116.68			
002058	威 尔 泰	740.07			
002059	云南旅游	23.87			
002060	粤 水 电	1.41			
002061	江山化工	7.71			
002062	宏润建设	5.45			
002063	远光软件	99.31			
002064	华峰氨纶	23.92			
002065	东华软件	68.81			
002066	瑞泰科技	9.09			
002067	景兴纸业	19.43			
002068	黑猫股份	6.70			
002069	獐子岛	13.08			
002070	*ST众和	20.17			
002071	长城影视	19.22			
002072	凯瑞德	50.73			
002073	软控股份	18.62			
002074	国轩高科	30.54			
002075	沙钢股份	80.23			
002076	雪 莱 特	28.58			
002077	大港股份	16.47			
002078	太阳纸业	10.69			
002079	苏州固锝	149.77			
002080	中材科技	8.03			
002081	金 螳 螂	13.33			
002082	栋梁新材	123.05			
002083	孚日股份	12.17			
002084	海鸥卫浴	45.93			
002085	万丰奥威	57.70			
002086	东方海洋	62.83			
002087	新野纺织	7.93			
002088	鲁阳节能	61.51			
002089	新 海 宜	9.35			
002090	金智科技	16.90			
002091	江苏国泰	8.78			
002092	中泰化学	5.55			
002093	国脉科技	36.81			
002094	青岛金王	55.19			
002095	生 意 宝	440.72			
002096	南岭民爆	12.46			
002097	山河智能	6.85			
002098	浔兴股份	104.76			
002099	海翔药业	36.82			
002100	天康生物	31.00			
002101	广东鸿图	24.10			
002102	冠福股份	28.93			
002103	广博股份	45.07			
002104	恒宝股份	126.04			
002105	信隆健康	23.88			
002106	莱宝高科	55.37			
002107	沃华医药	224.29			
002108	沧州明珠	73.25			
002109	兴化股份	33.80			
002110	三钢闽光	23.20			
002111	威海广泰	35.09			
002112	三变科技	30.77			
002113	天润数娱	565.88			
002114	罗平锌电	33.25			
002115	三维通信	20.38			
002116	中国海诚	14.63			
002117	东港股份	104.76			
002118	紫鑫药业	22.81			
002119	康强电子	29.41			
002120	韵达股份	109.47			
002121	科陆电子	7.95			
002122	天马股份	45.02			
002123	梦网荣信	38.56			
002124	天邦股份	33.82			
002125	湘潭电化	20.78			
002126	银轮股份	22.79			
002127	南极电商	76.39			
002128	露天煤业	23.58			
002129	中环股份	11.89			
002130	沃尔核材	11.24			
002131	利欧股份	11.15			
002132	恒星科技	29.39			
002133	广宇集团	9.19			
002134	*ST普林	114.44			
002135	东南网架	8.44			
002136	安 纳 达	46.37			
002137	麦达数字	133.63			
002138	顺络电子	67.44			
002139	拓邦股份	38.47			
002140	东华科技	13.91			
002141	贤丰控股	397.46			
002142	宁波银行	0.66			
002143	印纪传媒	16.90			
002144	宏达高科	58.80			
002145	中核钛白	22.36			
002146	荣盛发展	5.28			
002147	新光圆成	21.01			
002148	北纬通信	158.77			
002149	西部材料	12.40			
002150	通润装备	78.88			
002151	北斗星通	88.50			
002152	广电运通	47.21			
002153	石基信息	163.25			
002154	报 喜 鸟	18.16			
002155	湖南黄金	37.74			
002156	通富微电	12.47			
002157	正邦科技	12.61			
002158	汉钟精机	126.72			
002159	三特索道	11.57			
002160	常铝股份	13.84			
002161	远 望 谷	81.06			
002162	悦心健康	29.94			
002163	中航三鑫	6.36			
002164	宁波东力	50.33			
002165	红 宝 丽	28.90			
002166	莱茵生物	21.38			
002167	东方锆业	25.50			
002168	深圳惠程	138.80			
002169	智光电气	29.16			
002170	芭田股份	20.97			
002171	楚江新材	48.23			
002172	澳洋科技	12.27			
002173	创新医疗	50.36			
002174	游族网络	92.25			
002175	东方网络	71.80			
002176	江特电机	23.09			
002177	御银股份	63.32			
002178	延华智能	52.47			
002179	中航光电	35.30			
002180	纳思达	3.15			
002181	粤 传 媒	50.45			
002182	云海金属	8.75			
002183	怡 亚 通	4.04			
002184	海得控制	27.68			
002185	华天科技	45.79			
002186	全 聚 德	97.88			
002187	广百股份	19.02			
002188	巴士在线	200.21			
002189	利达光电	79.13			
002190	成飞集成	16.09			
002191	劲嘉股份	46.20			
002192	融捷股份	351.21			
002193	如意集团	16.20			
002194	武汉凡谷	66.92			
002195	二三四五	115.19			
002196	方正电机	38.63			
002197	证通电子	24.96			
002198	嘉应制药	416.29			
002199	东晶电子	120.19			
002200	云投生态	9.30			
002201	九鼎新材	10.29			
002202	金风科技	7.76			
002203	海亮股份	11.69			
002204	大连重工	6.96			
002205	国统股份	19.52			
002206	海 利 得	18.44			
002207	*ST准油	22.89			
002208	合肥城建	6.23			
002209	达 意 隆	16.99			
002210	飞马国际	8.70			
002211	宏达新材	97.24			
002212	南洋股份	25.19			
002213	特 尔 佳	373.30			
002214	大立科技	94.38			
002215	诺 普 信	34.58			
002216	三全食品	22.01			
002217	合力泰	14.01			
002218	拓日新能	20.73			
002219	恒康医疗	83.97			
002220	天宝股份	17.93			
002221	东华能源	9.27			
002222	福晶科技	569.76			
002223	鱼跃医疗	122.47			
002224	三 力 士	309.59			
002225	濮耐股份	16.65			
002226	江南化工	45.06			
002227	奥 特 迅	137.43			
002228	合兴包装	17.49			
002229	鸿博股份	43.48			
002230	科大讯飞	88.45			
002231	奥维通信	142.43			
002232	启明信息	63.52			
002233	塔牌集团	40.47			
002234	民和股份	23.47			
002235	安妮股份	112.17			
002236	大华股份	62.65			
002237	恒邦股份	7.14			
002238	天威视讯	52.50			
002239	奥特佳	29.21			
002240	威华股份	37.79			
002241	歌尔股份	17.74			
002242	九阳股份	49.97			
002243	通产丽星	80.13			
002244	滨江集团	7.16			
002245	澳洋顺昌	26.84			
002246	北化股份	109.34			
002247	帝龙文化	191.97			
002248	*ST东数	8.63			
002249	大洋电机	20.09			
002250	联化科技	51.56			
002251	步 步 高	8.37			
002252	上海莱士	456.01			
002253	川大智胜	169.23			
002254	泰和新材	123.67			
002255	海陆重工	36.21			
002256	兆新股份	51.24			
002258	利尔化学	53.95			
002259	升达林业	21.35			
002260	德奥通航	62.36			
002261	拓维信息	193.13			
002262	恩华药业	74.08			
002263	大 东 南	34.97			
002264	新 华 都	18.61			
002265	西仪股份	125.55			
002266	浙富控股	20.35			
002267	陕天然气	13.32			
002268	卫 士 通	23.89			
002269	美邦服饰	22.38			
002270	华明装备	21.54			
002271	东方雨虹	56.48			
002272	川润股份	42.76			
002273	水晶光电	192.16			
002274	华昌化工	7.97			
002275	桂林三金	158.56			
002276	万马股份	36.30			
002277	友阿股份	6.05			
002278	神开股份	54.48			
002279	久其软件	76.21			
002280	联络互动	104.26			
002281	光迅科技	19.53			
002282	博深工具	198.42			
002283	天润曲轴	34.24			
002284	亚太股份	26.43			
002285	世联行	33.50			
002286	保龄宝	76.18			
002287	奇正藏药	357.97			
002288	超华科技	53.62			
002289	宇顺电子	26.73			
002290	中科新材	38.15			
002291	星期六	39.08			
002292	奥飞娱乐	41.58			
002293	罗莱生活	44.10			
002294	信立泰	218.76			
002295	精艺股份	51.52			
002296	辉煌科技	43.43			
002297	博云新材	47.30			
002298	中电鑫龙	48.09			
002299	圣农发展	21.01			
002300	太阳电缆	26.59			
002301	齐心集团	23.49			
002302	西部建设	14.15			
002303	美盈森	107.65			
002304	洋河股份	76.13			
002305	南国置业	8.73			
002306	*ST云网	112.27			
002307	北新路桥	5.66			
002308	威创股份	94.23			
002309	中利集团	4.11			
002310	东方园林	23.78			
002311	海大集团	40.14			
002312	*ST三泰	38.57			
002313	日海通讯	28.44			
002314	南山控股	13.06			
002315	焦点科技	41.16			
002316	键桥通讯	27.92			
002317	众生药业	86.66			
002318	久立特材	41.75			
002319	乐通股份	35.36			
002320	海峡股份	169.35			
002321	华英农业	12.06			
002322	理工环科	215.53			
002323	雅百特	9.01			
002324	普利特	39.17			
002325	洪涛股份	11.90			
002326	永太科技	31.44			
002327	富安娜	60.38			
002328	新朋股份	20.29			
002329	皇氏集团	25.69			
002330	得利斯	69.66			
002331	皖通科技	64.78			
002332	仙琚制药	25.74			
002333	罗普斯金	231.21			
002334	英威腾	53.20			
002335	科华恒盛	36.68			
002336	人人乐	8.88			
002337	赛象科技	67.87			
002338	奥普光电	233.91			
002339	积成电子	39.85			
002340	格林美	10.16			
002341	新纶科技	22.11			
002342	巨力索具	49.84			
002343	慈文传媒	47.43			
002344	海宁皮城	13.10			
002345	潮宏基	35.40			
002346	柘中股份	299.49			
002347	泰尔股份	40.41			
002348	高乐股份	591.77			
002349	精华制药	123.28			
002350	北京科锐	27.98			
002351	漫步者	273.32			
002352	顺丰控股	62.22			
002353	杰瑞股份	56.74			
002354	天神娱乐	24.71			
002355	兴民智通	19.34			
002356	赫美集团	18.88			
002357	富临运业	10.65			
002358	森源电气	39.98			
002359	齐星铁塔	109.40			
002360	同德化工	73.31			
002361	神剑股份	54.53			
002362	汉王科技	183.46			
002363	隆基机械	33.16			
002364	中恒电气	200.25			
002365	永安药业	368.25			
002366	台海核电	23.31			
002367	康力电梯	39.04			
002368	太极股份	15.95			
002369	卓翼科技	22.62			
002370	亚太药业	192.62			
002371	北方华创	26.73			
002372	伟星新材	101.18			
002373	千方科技	45.14			
002374	丽鹏股份	17.41			
002375	亚厦股份	9.62			
002376	新北洋	46.76			
002377	国创高新	49.58			
002378	章源钨业	41.06			
002379	宏创控股	208.92			
002380	科远股份	111.16			
002381	双箭股份	41.62			
002382	蓝帆医疗	134.20			
002383	合众思壮	18.74			
002384	东山精密	11.06			
002385	大北农	34.36			
002386	天原集团	2.12			
002387	黑牛食品	83.45			
002388	新亚制程	39.94			
002389	南洋科技	228.30			
002390	信邦制药	25.16			
002391	长青股份	33.54			
002392	北京利尔	30.42			
002393	力生制药	95.71			
002394	联发股份	19.09			
002395	双象股份	70.32			
002396	星网锐捷	35.87			
002397	梦洁股份	33.33			
002398	建研集团	63.74			
002399	海普瑞	38.48			
002400	省广股份	16.99			
002401	中远海科	46.50			
002402	和而泰	98.69			
002403	爱仕达	25.22			
002404	嘉欣丝绸	31.08			
002405	四维图新	137.89			
002406	远东传动	109.87			
002407	多氟多	37.33			
002408	齐翔腾达	45.61			
002409	雅克科技	156.35			
002410	广联达	95.37			
002411	必康股份	37.88			
002412	汉森制药	78.64			
002413	雷科防务	316.98			
002414	高德红外	93.54			
002415	海康威视	76.76			
002416	爱施德	20.66			
002417	三元达	74.16			
002418	康盛股份	14.08			
002419	天虹股份	8.98			
002420	毅昌股份	10.20			
002421	达实智能	41.13			
002422	科伦药业	13.49			
002423	中原特钢	19.21			
002424	贵州百灵	145.45			
